fid,Species,plant_id,plot_id,aggplot_id,site,mean-HEIGHTS06-05-2024,HEIGHTS06-05-2024,mean-HEIGHTS08-30-2024,HEIGHTS08-30-2024,mean-HEIGHTS07-31-2024,HEIGHTS07-31-2024,mean-HEIGHTS08-09-2022,HEIGHTS08-09-2022,mean-HEIGHTS07-18-2024,HEIGHTS07-18-2024,mean-HEIGHTS06-05-2023,HEIGHTS06-05-2023,mean-HEIGHTS06-10-2022,HEIGHTS06-10-2022,mean-HEIGHTS09-09-2022,HEIGHTS09-09-2022,mean-HEIGHTS07-16-2024,HEIGHTS07-16-2024,mean-HEIGHTS08-29-2022,HEIGHTS08-29-2022,mean-HEIGHTS07-27-2023,HEIGHTS07-27-2023,mean-HEIGHTS07-19-2022,HEIGHTS07-19-2022,mean-HEIGHTS11-17-2023,HEIGHTS11-17-2023,mean-HEIGHTS07-08-2022,HEIGHTS07-08-2022,mean-HEIGHTS05-11-2023,HEIGHTS05-11-2023,mean-HEIGHTS07-06-2023,HEIGHTS07-06-2023,mean-HEIGHTS09-26-2022,HEIGHTS09-26-2022,mean-HEIGHTS09-26-2023,HEIGHTS09-26-2023,mean-HEIGHTS07-11-2024,HEIGHTS07-11-2024,mean-HEIGHTS06-21-2023,HEIGHTS06-21-2023,mean-HEIGHTS06-25-2024,HEIGHTS06-25-2024,mean-HEIGHTS05-03-2023,HEIGHTS05-03-2023,mean-HEIGHTS07-26-2023,HEIGHTS07-26-2023,mean-HEIGHTS10-30-2023,HEIGHTS10-30-2023
1636,Bluebunch Wheatgrass,23BCPS00248,248,62,BlueCreek,,,0.006079193,0.007202866,0.04668057,0.048621196,,,0.007210425,0.012089923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,Bluebunch Wheatgrass,21MVPS00555,555,139,Millville,0.145777121,0.160786003,,,,,0.008052787,0.009238246,,,0.032035958,0.028918207,0.00782952,0.007926373,0.008348645,0.007948103,0.09342818,0.09449961,0.006760057,0.005564445,0.014442122,0.015803348,0.010843247,0.011332965,0.07106857,0.075668678,0.002870987,0.002215726,0.020266,0.02034701,0.033795144,0.021025101,0.010208034,0.009432547,0.019612869,0.01485551,0.081922442,0.077048816,0.025552211,0.02018531,0.091290534,0.092782624,0.017154343,0.015498698,0.017606584,0.01750824,0.066254988,0.071975619
1638,Bluebunch Wheatgrass,21MVPS00556,556,139,Millville,0.091607399,0.092590556,,,,,0.010252086,0.013631186,,,0.022045072,0.023799108,0.011695434,0.014379639,0.008305484,0.013061523,0.052500974,0.034295488,0.008015836,0.011189779,0.010872883,0.010315438,0.003688027,0.005813722,0.054738939,0.051731624,0.003841607,0.007364909,0.019018013,0.019320799,0.030547423,0.022196325,0.004187153,0.006576843,0.025016595,0.022892367,0.046321359,0.037780385,0.020993039,0.022192495,0.067375802,0.070105955,0.024151336,0.024587734,0.012826731,0.013794141,0.050871961,0.048626151
1639,Bluebunch Wheatgrass,21MVPS00557,557,140,Millville,0.017236803,0.014550758,,,,,0.014236514,0.016322279,,,0.028380221,0.027956761,0.010082679,0.008306692,0.007292126,0.00969517,0.006030022,0.00394181,0.008042662,0.008471117,0.013134087,0.008683975,0.017870203,0.015509906,0.045946125,0.044672973,0.013775096,0.018242609,0.013070602,0.012659659,0.012140316,0.00444325,0.011425394,0.012686609,0.02393957,0.025113106,0.014282769,0.010164955,0.020032359,0.020750239,0.013068696,0.01383374,0.013026138,0.012803836,0.017363714,0.017697761,0.041151401,0.03935042
1640,Bluebunch Wheatgrass,21MVPS00558,558,140,Millville,0.022324756,0.023364538,,,,,0.011151341,0.009341053,,,0.016988304,0.0173539,0.004055018,0.004010297,0.010400731,0.010121422,0.014973673,0.012206401,0.002173645,0.00339136,0.013617138,0.015923193,0.004134644,0.004204019,0.063568652,0.063618168,0.011304024,0.011991492,0.016217317,0.015113481,0.004280176,0.004260089,0.005622671,0.00529735,0.014232247,0.013345806,0.018339332,0.018688889,0.013318188,0.013344227,0.025755288,0.028718727,0.015324342,0.01303089,0.020102628,0.019463968,0.043014377,0.041172795
1641,Bluebunch Wheatgrass,21MVPS00559,559,140,Millville,0.035998598,0.033583302,,,,,0.005648578,0.005166297,,,0.016115295,0.012932927,0.003264055,0.004037986,0.006142312,0.007754029,0.024736544,0.02259494,0.00572156,0.006032293,0.020873075,0.019970113,0.005425685,0.005399378,0.05511193,0.059099022,0.005000404,0.006756047,0.015215169,0.014937296,0.008195762,0.005994651,0.007265326,0.007932463,0.013204917,0.011302453,0.016593989,0.01637282,0.016901121,0.015421573,0.033838831,0.034116525,0.019389438,0.01701672,0.013373049,0.014798793,0.050616115,0.051015913
1642,Bluebunch Wheatgrass,21MVPS00560,560,140,Millville,0.028860264,0.030382723,,,,,0.010303807,0.009133936,,,0.025669424,0.026667476,0.006349135,0.010375977,0.00960928,0.011414885,0.033155169,0.033216283,0.009418322,0.012084961,0.026448743,0.026116438,0.007420417,0.010967244,0.039472409,0.038367327,0.006965519,0.007283528,0.026390979,0.026509354,0.015510569,0.015536378,0.013257347,0.015674608,0.026441149,0.026639698,0.022241347,0.023327041,0.024929846,0.021980982,0.033704638,0.03530547,0.025223233,0.025584027,0.017236358,0.018239638,0.066240966,0.069006018
1643,Bluebunch Wheatgrass,21MVPS00561,561,141,Millville,0.03068085,0.020884413,,,,,0.028941905,0.028509175,,,0.035836194,0.027345717,0.011970072,0.008172275,0.031339031,0.026517777,0.03878982,0.029814368,0.02568583,0.02580619,0.012564365,0.009389415,0.031504728,0.031292003,0.058180898,0.049729854,0.016868902,0.018846489,0.0223282,0.020045072,0.081101127,0.060624208,0.033444837,0.030799398,0.03335223,0.030160194,0.033580232,0.033487838,0.073694289,0.076332308,0.024088137,0.024474205,0.016708393,0.014901416,0.014025017,0.010375666,0.063337974,0.063007914
1644,Bluebunch Wheatgrass,21MVPS00562,562,141,Millville,0.058443364,0.056620348,,,,,0.038637582,0.037309278,,,0.047804989,0.038193382,0.010956356,0.013541026,0.048257619,0.040334862,0.101733387,0.101926476,0.028108675,0.023404835,0.013512882,0.010407032,0.05197693,0.053121772,0.050878976,0.048631366,0.018518325,0.019795142,0.016909186,0.0164224,0.106207788,0.114730068,0.063070171,0.059670765,0.03974136,0.035109326,0.066536464,0.063353762,0.065643363,0.076418057,0.053973537,0.050468616,0.013741466,0.012383284,0.020219741,0.019932739,0.068056159,0.068581432
1645,Bluebunch Wheatgrass,21MVPS00563,563,141,Millville,0.056430068,0.0559857,,,,,0.024128446,0.019292375,,,0.031072667,0.025214488,0.010498253,0.010869855,0.032769963,0.031034416,0.082649946,0.079834521,0.020810321,0.012063134,0.014312091,0.014661347,0.023732267,0.018998154,0.045495469,0.046270303,0.017796149,0.017860224,0.016604889,0.015608294,0.050292257,0.036437009,0.034964114,0.029837729,0.020730237,0.017726878,0.040226057,0.039700836,0.028637351,0.020384977,0.068106495,0.056301422,0.01303306,0.011400024,0.01681246,0.015703814,0.049210325,0.049206641
1646,Bluebunch Wheatgrass,21MVPS00564,564,141,Millville,0.036285307,0.037030522,,,,,0.016071677,0.0167154,,,0.021707902,0.023053462,0.007613099,0.009834009,0.011337286,0.011361526,0.029427366,0.030615477,0.019327154,0.017410416,0.007409566,0.011697422,0.016211456,0.01474348,0.033912778,0.033346988,0.014600478,0.015678247,0.010262297,0.011128601,0.007329876,0.008786055,0.022506658,0.023159822,0.014232901,0.014437532,0.020530183,0.020687975,0.027422318,0.023394071,0.045456316,0.04317474,0.008688018,0.012205969,0.011051196,0.01314929,0.04296435,0.043829128
1647,Bluebunch Wheatgrass,23BCPS00249,249,63,BlueCreek,,,0.014069553,0.015107458,0.038608074,0.035276964,,,0.013056762,0.012035928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,Bluebunch Wheatgrass,21MVPS00565,565,142,Millville,0.139639467,0.142292395,,,,,0.028783059,0.024566341,,,0.059187714,0.039161604,0.011930716,0.013126173,0.049336269,0.043074153,0.088683657,0.071118563,0.026230041,0.027553659,0.016434113,0.014460571,0.030217443,0.023763649,0.076082021,0.073350549,0.023082202,0.022186477,0.031491328,0.02894963,0.074912436,0.067458726,0.049147744,0.052214742,0.043503638,0.034125686,0.066051342,0.066601686,0.064327151,0.046585251,0.078885317,0.072601698,0.020377476,0.019658485,0.020927284,0.020614436,0.099016339,0.104126379
1649,Bluebunch Wheatgrass,21MVPS00566,566,142,Millville,0.09969762,0.09593571,,,,,0.019715948,0.015696391,,,0.025996752,0.029010905,0.009701489,0.012747909,0.019603785,0.013009448,0.032525145,0.021760795,0.019650999,0.016659826,0.006780265,0.010929372,0.017035205,0.016881967,0.056642208,0.055973828,0.018258495,0.018066796,0.014309959,0.013875485,0.039312042,0.038475428,0.020867066,0.015624208,0.010378341,0.011547794,0.056195639,0.049220536,0.038735081,0.036985856,0.075849771,0.06596148,0.009364327,0.011355586,0.013379715,0.014055385,0.054503106,0.052647635
1650,Bluebunch Wheatgrass,21MVPS00567,567,142,Millville,0.025545601,0.02267441,,,,,0.017683161,0.016850634,,,0.026103029,0.01988115,0.015056692,0.016086884,0.012721225,0.010469226,0.024966709,0.024065506,0.015845109,0.013062556,0.012036165,0.01338586,0.016180133,0.016629556,0.061514392,0.063468225,0.012310483,0.015013941,0.016108582,0.014181087,0.02247192,0.021365093,0.022812078,0.015149605,0.019019486,0.015426774,0.030447287,0.030271051,0.027828524,0.025877034,0.031991031,0.027025558,0.011175853,0.011039879,0.010039313,0.007854736,0.068646006,0.072036967
1651,Bluebunch Wheatgrass,21MVPS00568,568,142,Millville,0.044555463,0.037103947,,,,,0.017167049,0.018319499,,,0.07227774,0.05223991,0.015599569,0.016557084,0.025621561,0.019775953,0.035906088,0.02234902,0.018628268,0.018301982,0.019416492,0.020078555,0.017229443,0.018324593,0.048487559,0.050552338,0.011562563,0.012618555,0.021159574,0.01908569,0.014045509,0.01352019,0.038602468,0.03056458,0.024996813,0.017508129,0.03276673,0.023387045,0.139252082,0.141415164,0.028755961,0.028045392,0.02025689,0.018198725,0.02415964,0.025219496,0.062175829,0.06317199
1652,Bluebunch Wheatgrass,21MVPS00569,569,143,Millville,0.032870241,0.025204025,,,,,0.014355804,0.013651461,,,0.044868782,0.036004737,0.019415226,0.020915059,0.033141922,0.025309483,0.030930443,0.030349923,0.029630557,0.032740008,0.014032882,0.005932692,0.02693538,0.026436849,0.062826194,0.064760566,0.020016441,0.020714583,0.017356291,0.013747123,0.061871231,0.054556992,0.039210502,0.02210672,0.069723085,0.070355326,0.026632184,0.032027677,0.077272095,0.071891725,0.012957668,0.012107943,0.024225216,0.023825055,0.015192018,0.013324689,0.079600118,0.082953773
1653,Bluebunch Wheatgrass,21MVPS00570,570,143,Millville,0.060396254,0.056916676,,,,,0.019573426,0.019852579,,,0.123406775,0.138502464,0.014151569,0.014340427,0.031592689,0.020088209,0.048800949,0.050623875,0.030006647,0.026455082,0.019859262,0.017713124,0.042351793,0.041849997,0.058867343,0.057816662,0.019665893,0.018012352,0.036315452,0.037117671,0.068070069,0.066922858,0.038822848,0.023516364,0.055802107,0.054457843,0.036580503,0.038587093,0.142263085,0.153573319,0.029716022,0.028460573,0.032694124,0.029473305,0.017047783,0.012414158,0.072943009,0.076734446
1654,Bluebunch Wheatgrass,21MVPS00571,571,143,Millville,0.023142178,0.017897757,,,,,0.014860366,0.017527798,,,0.108909152,0.114206351,0.021417229,0.020449165,0.032638308,0.031082898,0.022290699,0.023414154,0.025989616,0.028642509,0.008887444,0.012980143,0.044938572,0.039575253,0.032984253,0.032900941,0.019094706,0.019099001,0.041355871,0.040414892,0.012567285,0.012027462,0.037573919,0.026269786,0.014701375,0.00916404,0.024458326,0.02076121,0.100515738,0.101095729,0.016834665,0.012762037,0.034141485,0.034305379,0.017015286,0.015048832,0.027534446,0.027145393
1655,Bluebunch Wheatgrass,21MVPS00572,572,143,Millville,0.019167937,0.020834755,,,,,0.031774595,0.027055426,,,0.050920263,0.050114516,0.014688128,0.016050326,0.018130578,0.018160509,0.020015256,0.021243641,0.022796025,0.023973968,0.009440104,0.009440104,0.029570274,0.032186188,0.031404797,0.031270742,0.015210145,0.015059066,0.015777497,0.017124109,0.002696753,0.007527669,0.023938244,0.024205429,0.018972563,0.02038086,0.027449217,0.028369334,0.067707866,0.039782856,0.006435353,0.009409865,0.015524307,0.016066927,0.009147205,0.010307127,0.04672192,0.045564156
1656,Bluebunch Wheatgrass,21MVPS00573,573,144,Millville,0.038395755,0.032456402,,,,,0.011625906,0.011592935,,,0.04708644,0.051694393,0.017666068,0.017870473,0.013157291,0.013809271,0.016377939,0.016749578,0.022008633,0.021979025,0.00818865,0.010538737,0.017281763,0.0177927,0.063897982,0.064149968,0.015353158,0.015398601,0.013356906,0.012846831,0.035536919,0.037837792,0.014120746,0.014550187,0.020583281,0.017396772,0.026405629,0.023286091,0.022824259,0.023058875,0.017532066,0.017716452,0.01299227,0.011805129,0.013223306,0.014148801,0.058945019,0.064393513
1657,Bluebunch Wheatgrass,21MVPS00574,574,144,Millville,0.052569643,0.044647105,,,,,0.016761348,0.016594646,,,0.045669001,0.051645357,0.02034355,0.019307105,0.014257587,0.011349604,0.017350219,0.016697343,0.019275943,0.022275507,0.008149883,0.005076879,0.014617126,0.013876501,0.075830981,0.082517236,0.014533527,0.015050855,0.007462134,0.001706348,0.045747757,0.033393558,0.013519228,0.013413444,0.019305581,0.020569008,0.028395129,0.026443385,0.014977019,0.011841649,0.026023475,0.026419831,0.014749346,0.015371846,0.011659013,0.011026837,0.068842471,0.074281588
1658,Bluebunch Wheatgrass,23BCPS00250,250,63,BlueCreek,,,0.012482659,0.012876954,0.042753369,0.038059574,,,0.010941192,0.012042505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,Bluebunch Wheatgrass,21MVPS00575,575,144,Millville,0.062649228,0.05751659,,,,,0.014947476,0.016180851,,,0.025113849,0.022956677,0.017543998,0.014851889,0.026868166,0.024838943,0.02734836,0.023903845,0.019669997,0.019226668,0.016815711,0.017484384,0.018727344,0.020806309,0.079346173,0.085794233,0.016628342,0.016776204,0.007695147,0.007161022,0.026686588,0.025494343,0.02062968,0.019791799,0.037408255,0.039206799,0.036863171,0.037216377,0.02027891,0.02089482,0.022235427,0.02161159,0.015285247,0.013752832,0.021854481,0.024964022,0.08625567,0.09419284
1660,Bluebunch Wheatgrass,21MVPS00576,576,144,Millville,0.062673554,0.063233472,,,,,0.020334732,0.021062836,,,0.023591645,0.020505436,0.017863115,0.018194243,0.022068847,0.024304705,0.03453185,0.033666298,0.022833936,0.021991488,0.017534822,0.017847054,0.017010707,0.017669059,0.038709376,0.039942749,0.020076243,0.020063648,0.011379329,0.010495158,0.014696871,0.015680864,0.023581045,0.021846808,0.022053976,0.02207599,0.04187512,0.036987491,0.024913864,0.025891336,0.032708965,0.032272056,0.020418433,0.020184018,0.026562501,0.028435338,0.054304238,0.054924078
1661,Bluebunch Wheatgrass,21MVPS00577,577,145,Millville,0.019784737,0.019834898,,,,,0.02039144,0.021523334,,,0.009236721,0.011837386,0.010167838,0.00822115,0.01685847,0.016741619,0.015936967,0.014702696,0.021869648,0.017999299,0.008874984,0.007815692,0.022464797,0.02225703,0.020341218,0.021164952,0.01590723,0.016649414,0.014449799,0.015499186,0.006445134,0.002155489,0.016052209,0.015295725,0.010062146,0.008429071,0.019640554,0.019466711,0.01881827,0.017405428,0.007105745,0.003558913,0.014334803,0.014887813,0.012423199,0.012011442,0.020523285,0.020525934
1662,Bluebunch Wheatgrass,21MVPS00578,578,145,Millville,0.040705532,0.035217062,,,,,0.015824547,0.015085937,,,0.00958662,0.01113522,0.013881596,0.014048537,0.015116285,0.013205885,0.018240245,0.022139009,0.024277069,0.024557911,0.009513345,0.00814541,0.019990165,0.019600024,0.048849147,0.04574376,0.014193184,0.019607576,0.0146172,0.014177806,0.008580828,0.004875001,0.019155916,0.016906828,0.013303232,0.014120278,0.040752377,0.038703267,0.0217613,0.02106321,0.019540804,0.018399343,0.016625263,0.016145807,0.014998125,0.01758047,0.04933146,0.047411222
1663,Bluebunch Wheatgrass,21MVPS00579,579,145,Millville,0.045173515,0.045366462,,,,,0.013277262,0.013605524,,,0.010938489,0.012001302,0.010577084,0.012099382,0.012133464,0.012092612,0.022622745,0.022600314,0.01534528,0.011671664,0.011546498,0.007436595,0.016019922,0.012764263,0.065597065,0.065879561,0.016827382,0.016295094,0.012227439,0.010745398,0.011311403,0.010792889,0.015655864,0.016598474,0.013872636,0.015247126,0.045870952,0.048301928,0.018222483,0.01650086,0.020991335,0.021603724,0.014477336,0.01535508,0.012007075,0.013166009,0.068958499,0.067859024
1664,Bluebunch Wheatgrass,21MVPS00580,580,145,Millville,0.041097466,0.042934306,,,,,0.028037086,0.027165284,,,0.011456365,0.013187162,0.008895586,0.009760883,0.037870873,0.027768495,0.032351777,0.030479094,0.036983069,0.037033677,0.010695202,0.012675464,0.01839181,0.019908926,0.055748437,0.056691289,0.013140229,0.013543127,0.011121381,0.012145069,0.013124552,0.013538341,0.043196253,0.032389108,0.024737643,0.025103165,0.037057184,0.036740996,0.036455452,0.028055744,0.027747711,0.025268689,0.016379192,0.016361315,0.017000115,0.017023589,0.06204718,0.065025426
1665,Bluebunch Wheatgrass,21MVPS00581,581,146,Millville,0.05520888,0.046264276,,,,,0.006804335,0.007969805,,,0.012887768,0.012480968,0.007733879,0.011616467,0.014470756,0.013668387,0.034187101,0.028537301,0.013043461,0.013077465,0.004854572,0.002533616,0.013775746,0.01534928,0.047792666,0.049805686,0.009301918,0.010911074,0.007576559,0.002177501,0.0082723,0.008750508,0.010039897,0.008207432,0.012599325,0.011029073,0.040688608,0.034082249,0.008940007,0.011486519,0.04720293,0.042940285,0.00672297,0.008423895,0.004665636,0.004185304,0.046413261,0.046041708
1666,Bluebunch Wheatgrass,21MVPS00582,582,146,Millville,0.0494643,0.048712224,,,,,0.009847444,0.009887695,,,0.007362869,0.008385844,0.004470903,0.0050032,0.010849587,0.009341064,0.020825367,0.014771566,0.012100991,0.01117883,0.004078709,0.00437602,0.009676995,0.009969075,0.060728617,0.067052424,0.00824907,0.010347712,0.004312436,0.007793411,0.002005416,0.001762377,0.010425076,0.009315216,0.013492726,0.013119596,0.040519673,0.028050378,0.017361324,0.012453423,0.046484612,0.046442341,0.0087176,0.011471725,0.00843986,0.004886261,0.063787259,0.066483974
1667,Bluebunch Wheatgrass,21MVPS00583,583,146,Millville,0.044167515,0.04290355,,,,,0.009752517,0.007324219,,,0.009798672,0.010842328,0.005085969,0.00537791,0.011140942,0.012145086,0.006932978,0.007448587,0.014661822,0.013717834,0.005815554,0.00736883,0.011867238,0.0139976,0.077125467,0.079432331,0.007204263,0.007305511,0.00544919,0.007863749,0.004878877,0.006320523,0.009206207,0.006750753,0.012179808,0.011657067,0.026398301,0.025512192,0.009156614,0.008880502,0.047824576,0.043785993,0.010768276,0.014009259,0.004812298,0.004252612,0.074621871,0.07598725
1668,Bluebunch Wheatgrass,21MVPS00584,584,146,Millville,0.068768732,0.068514332,,,,,0.010622955,0.012322162,,,0.01931968,0.014509263,0.002426955,0.006372365,0.026379956,0.023953013,0.01972512,0.017077219,0.01699188,0.016813057,0.011750991,0.014038086,0.00713848,0.010033357,0.069609389,0.068653591,0.012393709,0.012980143,0.014451717,0.016202345,0.01580946,0.016369369,0.026701825,0.02166049,0.025907995,0.021613913,0.054227475,0.045329079,0.028064366,0.028363053,0.071949407,0.074380435,0.009630608,0.012192119,0.00425397,0.008606453,0.068082333,0.064619087
1669,Bluebunch Wheatgrass,23BCPS00026,26,7,BlueCreek,,,0.025955217,0.025229173,0.03090032,0.031632353,,,0.017941391,0.015862858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,Bluebunch Wheatgrass,23BCPS00251,251,63,BlueCreek,,,0.018751815,0.019240452,0.042499401,0.041757371,,,0.015313697,0.017141961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,Bluebunch Wheatgrass,21MVPS00585,585,147,Millville,0.026041349,0.024554271,,,,,0.011285945,0.008908075,,,0.030419897,0.029871959,0.003147213,0.006380422,0.024787333,0.022027357,0.021639613,0.020192523,0.016169421,0.014127197,0.011473644,0.009825613,0.012243024,0.011097506,0.042201564,0.038896121,0.00246391,0.005498453,0.015095007,0.015110562,0.015309173,0.011662884,0.022683926,0.018021306,0.017001824,0.017243637,0.023613453,0.026522849,0.043754127,0.047646478,0.013454746,0.013276452,0.012055773,0.012614057,0.013388533,0.012846783,0.042569406,0.042873353
1672,Bluebunch Wheatgrass,21MVPS00586,586,147,Millville,0.031396054,0.026949164,,,,,0.015165165,0.016030772,,,0.026295489,0.027003281,0.01073905,0.010604245,0.014649951,0.016244784,0.020853106,0.021112522,0.018357791,0.022693288,0.001345337,0.001394747,0.015997756,0.016849797,0.050374694,0.048137549,0.011118736,0.012967648,0.016525343,0.014604841,0.010735014,0.010185081,0.018595925,0.019448701,0.011915782,0.012124241,0.026430605,0.027247209,0.029928036,0.029422803,0.015385015,0.013485928,0.016306311,0.017690212,0.016031958,0.015547394,0.048520088,0.047500938
1673,Bluebunch Wheatgrass,21MVPS00587,587,147,Millville,0.035861697,0.033139646,,,,,0.010211255,0.011949886,,,0.016476376,0.016225537,0.00501459,0.003500098,0.010071391,0.00790887,0.026997577,0.020214258,0.013784728,0.014319018,0.005732282,0.004685035,0.015100587,0.013551187,0.034008522,0.030119896,0.007751343,0.008509067,0.012118728,0.012764894,0.00956811,0.00708504,0.013866165,0.016746268,0.019105606,0.016176376,0.031293195,0.031376258,0.015496889,0.012918334,0.036916409,0.039371353,0.009189043,0.012052064,0.011793823,0.013888251,0.036598671,0.02885019
1674,Bluebunch Wheatgrass,21MVPS00588,588,147,Millville,0.035630688,0.0277294,,,,,0.00858934,0.010630888,,,0.02267633,0.019660218,0.00398763,0.00398763,0.019775257,0.019544451,0.053211927,0.052441906,0.022344057,0.022512473,0.01411444,0.013758235,0.009256359,0.008585612,0.032888625,0.026249336,0.002993065,0.006176877,0.02189658,0.020780634,0.015731364,0.016638057,0.030416366,0.028745001,0.018008763,0.017481433,0.024850206,0.014093598,0.028515285,0.028024148,0.029498689,0.027350023,0.013708578,0.014591227,0.019343214,0.019137196,0.04407924,0.037665747
1675,Bluebunch Wheatgrass,21MVPS00589,589,148,Millville,0.039818741,0.031659916,,,,,0.012287329,0.013002719,,,0.077570848,0.072718285,0.012507311,0.013326215,0.02743494,0.023861883,0.017724169,0.012266252,0.021875359,0.018690879,0.019286647,0.017961159,0.024874303,0.026780998,0.030570857,0.025855722,0.011169472,0.01123818,0.025759589,0.025557403,0.021984722,0.024601219,0.032564957,0.027003447,0.036331937,0.03689925,0.021620231,0.02499795,0.134576723,0.1241512,0.042977739,0.041213006,0.020931801,0.018634949,0.018281242,0.016670134,0.048765346,0.049785696
1676,Bluebunch Wheatgrass,21MVPS00590,590,148,Millville,0.039395798,0.029769069,,,,,0.016262216,0.013593343,,,0.119423412,0.102078222,0.013733807,0.012685993,0.047987249,0.045851301,0.021707203,0.01576281,0.03975163,0.037875757,0.013678129,0.015127804,0.053557992,0.047047921,0.032236487,0.031174961,0.017601786,0.016774828,0.041307904,0.035140987,0.01556443,0.015635865,0.043956753,0.028543957,0.013913936,0.01005044,0.018399892,0.016981274,0.141180575,0.125210345,0.020265657,0.022493852,0.035779212,0.025530571,0.021024583,0.02029866,0.035509828,0.033864405
1677,Bluebunch Wheatgrass,21MVPS00591,591,148,Millville,0.024531526,0.021400571,,,,,0.017847169,0.017690038,,,0.043530677,0.025282798,0.013788276,0.012910068,0.024775265,0.019738523,0.031366386,0.030183768,0.022009972,0.018947151,0.015360368,0.014972375,0.027245739,0.02292785,0.062051166,0.066657655,0.018174266,0.018719431,0.021687027,0.020150254,0.014127974,0.014358985,0.023618758,0.021736775,0.026778815,0.028476231,0.02102921,0.020239808,0.038250424,0.03792163,0.030505106,0.03049496,0.016570918,0.013512287,0.014148017,0.012223894,0.060159486,0.06493172
1678,Bluebunch Wheatgrass,21MVPS00592,592,148,Millville,0.024027746,0.025688909,,,,,0.013310889,0.013718084,,,0.028083537,0.029354079,0.013507404,0.014474877,0.024011994,0.024847478,0.032973677,0.033472888,0.026088323,0.027051004,0.015034836,0.015038915,0.016078169,0.01617053,0.075162642,0.080095977,0.01524054,0.015352651,0.02171859,0.022380557,0.029914435,0.028048953,0.029308476,0.031046629,0.036785033,0.03625387,0.032178458,0.03390491,0.029696399,0.029773314,0.017730603,0.011346143,0.015568044,0.015913684,0.018254552,0.018409546,0.072010055,0.079609223
1679,Bluebunch Wheatgrass,21MVPS00593,593,149,Millville,0.03631141,0.017848257,,,,,0.011769888,0.011452066,,,0.015672889,0.013418199,0.013157146,0.013310977,0.021610199,0.019506592,0.034115348,0.022126438,0.018758269,0.018073959,0.014295588,0.015313831,0.015669771,0.017284598,0.080352515,0.079598367,0.01182332,0.012738573,0.01697932,0.015148304,0.017037166,0.016023887,0.022215134,0.014351305,0.01686362,0.013655583,0.042902607,0.032409426,0.019888274,0.017852861,0.026340798,0.023841919,0.016215388,0.014194787,0.017056575,0.015752841,0.078137547,0.067203797
1680,Bluebunch Wheatgrass,21MVPS00594,594,149,Millville,0.103958234,0.095858715,,,,,0.012580869,0.013223791,,,0.026217302,0.024463817,0.013241054,0.01195053,0.016651513,0.016909735,0.087747678,0.09694083,0.022028672,0.019435065,0.015452447,0.015200074,0.016194919,0.016576143,0.088321857,0.091318615,0.01629906,0.01729461,0.025107322,0.024144398,0.014943888,0.014014466,0.0234746,0.018486766,0.028513705,0.029920187,0.062774271,0.05815107,0.028978739,0.028550414,0.064064778,0.06729126,0.019688006,0.017211815,0.017911999,0.015760317,0.094749339,0.096203074
1681,Bluebunch Wheatgrass,23BCPS00252,252,63,BlueCreek,,,0.021503463,0.021400381,0.038970754,0.040324558,,,0.012283529,0.013746056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,Bluebunch Wheatgrass,21MVPS00595,595,149,Millville,0.070069075,0.050491497,,,,,0.012531334,0.012321478,,,0.025948541,0.027102301,0.012467962,0.012971008,0.012362226,0.012546117,0.047242958,0.046207413,0.017249448,0.016632574,0.011267746,0.01208431,0.011717922,0.012527481,0.083202556,0.086207636,0.010915724,0.006528099,0.018166475,0.017534906,0.016621049,0.015644498,0.01505457,0.013073862,0.022955563,0.024953866,0.040565681,0.038797226,0.02691119,0.02277741,0.03869484,0.029305188,0.015913188,0.015159288,0.020314092,0.019599261,0.091458529,0.097112447
1683,Bluebunch Wheatgrass,21MVPS00596,596,149,Millville,0.035822116,0.038432427,,,,,0.01491043,0.015193097,,,0.039534219,0.030965121,0.012474481,0.013374702,0.014590005,0.014578282,0.035062686,0.03418098,0.022723038,0.021329921,0.004167047,0.005981445,0.007377624,0.008775273,0.075603761,0.079248324,0.012906771,0.013865192,0.020256303,0.021871403,0.014776839,0.015647067,0.020412143,0.022183279,0.028196825,0.029128917,0.046145305,0.049541067,0.037871331,0.034499582,0.025662828,0.026746925,0.013252403,0.01166446,0.011679082,0.012530651,0.075592034,0.079621062
1684,Bluebunch Wheatgrass,21MVPS00597,597,150,Millville,0.019065889,0.020376965,,,,,0.011561467,0.009148238,,,0.024186991,0.024620971,0.010488882,0.011906169,0.008618369,0.00984033,0.015766919,0.017316597,0.011960505,0.011715974,0.009428712,0.008430594,0.008920683,0.00963354,0.061681934,0.061285093,0.008912921,0.005532792,0.019169468,0.018733351,0.018794626,0.015363823,0.010303655,0.010188106,0.013691735,0.013311331,0.016487982,0.013048979,0.03631841,0.031172324,0.02237634,0.024242548,0.014669824,0.015343674,0.014981153,0.012483287,0.050181337,0.046607438
